q,psi
-0.56,-0.14
-0.56,-0.16
-0.56,-0.17
-0.56,-0.16
-0.56,-0.15
-0.56,-0.12
-0.56,-0.08
-0.56,-0.03
-0.46,-0.05
-0.46,-0.11
-0.46,-0.14
-0.46,-0.16
-0.46,-0.17
-0.46,-0.16
-0.46,-0.15
-0.46,-0.12
-0.46,-0.08
-0.46,-0.03
-0.36,-0.04
-0.36,-0.1
-0.36,-0.13
-0.36,-0.15
-0.36,-0.15
-0.36,-0.15
-0.36,-0.13
-0.36,-0.11
-0.36,-0.08
-0.36,-0.03
-0.26,-0.03
-0.26,-0.08
-0.26,-0.1
-0.26,-0.12
-0.26,-0.12
-0.26,-0.12
-0.26,-0.11
-0.26,-0.09
-0.26,-0.06
-0.25,-0.02
-0.16,-0.02
-0.16,-0.05
-0.16,-0.07
-0.15,-0.07
-0.15,-0.08
-0.15,-0.08
-0.15,-0.07
-0.15,-0.06
-0.15,-0.04
-0.15,-0.01
-0.05,-0.01
-0.05,-0.02
-0.05,-0.02
-0.05,-0.03
-0.05,-0.03
-0.05,-0.03
-0.05,-0.02
-0.05,-0.02
-0.05,-0.01
-0.05,-0.01
0.05,0.01
0.05,0.02
0.05,0.02
0.05,0.03
0.05,0.03
0.05,0.03
0.05,0.02
0.05,0.02
0.05,0.01
0.05,0.01
0.16,0.02
0.16,0.05
0.16,0.07
0.15,0.07
0.15,0.08
0.15,0.07
0.15,0.07
0.15,0.06
0.15,0.04
0.15,0.01
0.26,0.03
0.26,0.08
0.26,0.1
0.26,0.12
0.26,0.12
0.26,0.12
0.26,0.11
0.26,0.09
0.26,0.06
0.25,0.02
0.36,0.04
0.36,0.1
0.36,0.13
0.36,0.15
0.36,0.15
0.36,0.15
0.36,0.13
0.36,0.11
0.36,0.08
0.36,0.03
0.46,0.05
0.46,0.11
0.46,0.14
0.46,0.16
0.46,0.17
0.46,0.16
0.46,0.15
0.46,0.12
0.46,0.08
0.46,0.03
0.56,0.04
0.56,0.11
0.56,0.14
0.56,0.16
0.56,0.17
0.56,0.16
0.56,0.15
0.56,0.12
0.56,0.08
0.56,0.03
0.66,0.04
0.66,0.09
0.66,0.13
0.66,0.15
0.66,0.15
0.66,0.15
0.66,0.13
0.66,0.11
0.66,0.08
0.66,0.03
0.76,0.03
0.76,0.07
0.76,0.1
0.76,0.12
0.76,0.12
0.76,0.12
0.76,0.11
0.76,0.09
0.76,0.06
0.76,0.03
0.85,0.02
0.86,0.05
0.86,0.07
0.85,0.07
0.85,0.08
0.85,0.07
0.85,0.07
0.85,0.06
0.85,0.04
0.86,0.02
0.95,0.01
0.96,0.02
0.95,0.02
0.95,0.03
0.95,0.03
0.95,0.02
0.95,0.02
0.95,0.02
0.95,0.01
0.95,0.01
-0.96,-0.02
-0.97,-0.05
-0.96,-0.05
-0.95,-0.05
-0.95,-0.05
-0.95,-0.04
-0.94,-0.04
-0.94,-0.03
-0.94,-0.02
-0.96,-0.01
-0.85,-0.04
-0.86,-0.1
-0.86,-0.14
-0.86,-0.15
-0.86,-0.15
-0.86,-0.14
-0.86,-0.12
-0.86,-0.1
-0.86,-0.07
-0.87,-0.04
-0.76,-0.06
-0.77,-0.16
-0.77,-0.21
-0.77,-0.23
-0.76,-0.24
-0.76,-0.22
-0.76,-0.19
-0.76,-0.16
-0.76,-0.11
-0.76,-0.05
-0.67,-0.08
-0.68,-0.2
-0.67,-0.27
-0.67,-0.3
-0.67,-0.3
-0.67,-0.28
-0.66,-0.25
-0.66,-0.2
-0.66,-0.13
-0.66,-0.05
-0.58,-0.1
-0.58,-0.23
-0.57,-0.3
-0.57,-0.33
-0.57,-0.33
-0.57,-0.31
-0.57,-0.27
-0.56,-0.22
-0.56,-0.15
-0.56,-0.06
-0.48,-0.11
-0.48,-0.23
-0.47,-0.3
-0.47,-0.33
-0.47,-0.33
-0.47,-0.31
-0.47,-0.27
-0.46,-0.22
-0.46,-0.14
-0.46,-0.05
-0.39,-0.1
-0.38,-0.21
-0.37,-0.27
-0.37,-0.3
-0.37,-0.3
-0.37,-0.28
-0.36,-0.25
-0.36,-0.2
-0.36,-0.13
-0.36,-0.05
-0.28,-0.08
-0.27,-0.17
-0.27,-0.22
-0.27,-0.24
-0.26,-0.24
-0.26,-0.22
-0.26,-0.19
-0.26,-0.15
-0.26,-0.1
-0.25,-0.04
-0.17,-0.05
-0.16,-0.11
-0.16,-0.14
-0.16,-0.15
-0.16,-0.15
-0.16,-0.14
-0.16,-0.13
-0.16,-0.1
-0.16,-0.07
-0.15,-0.02
-0.06,-0.02
-0.05,-0.04
-0.05,-0.05
-0.05,-0.05
-0.05,-0.05
-0.05,-0.05
-0.05,-0.04
-0.05,-0.03
-0.05,-0.02
-0.05,-0.01
0.06,0.02
0.05,0.04
0.05,0.05
0.05,0.05
0.05,0.05
0.05,0.05
0.05,0.04
0.05,0.03
0.05,0.02
0.05,0.01
0.17,0.05
0.16,0.11
0.16,0.14
0.16,0.15
0.16,0.15
0.16,0.14
0.16,0.12
0.16,0.1
0.16,0.07
0.15,0.02
0.28,0.08
0.27,0.17
0.27,0.22
0.27,0.24
0.26,0.24
0.26,0.22
0.26,0.19
0.26,0.15
0.26,0.1
0.25,0.04
0.39,0.1
0.38,0.21
0.37,0.27
0.37,0.3
0.37,0.3
0.37,0.28
0.36,0.25
0.36,0.2
0.36,0.13
0.36,0.05
0.48,0.11
0.48,0.23
0.47,0.3
0.47,0.33
0.47,0.33
0.47,0.31
0.47,0.27
0.46,0.22
0.46,0.14
0.46,0.05
0.58,0.1
0.58,0.23
0.57,0.3
0.57,0.33
0.57,0.33
0.57,0.31
0.57,0.27
0.56,0.22
0.56,0.15
0.56,0.06
0.67,0.08
0.68,0.2
0.67,0.27
0.67,0.3
0.67,0.3
0.67,0.28
0.66,0.25
0.66,0.2
0.66,0.13
0.66,0.05
0.76,0.06
0.77,0.16
0.77,0.21
0.77,0.23
0.76,0.24
0.76,0.22
0.76,0.19
0.76,0.16
0.76,0.11
0.76,0.05
0.85,0.04
0.86,0.1
0.86,0.14
0.86,0.15
0.86,0.15
0.86,0.14
0.86,0.12
0.86,0.1
0.86,0.07
0.87,0.04
0.96,0.02
0.97,0.05
0.96,0.05
0.95,0.05
0.95,0.05
0.95,0.04
0.94,0.04
0.94,0.03
0.94,0.02
0.96,0.01
-0.98,-0.03
-0.99,-0.08
-0.96,-0.08
-0.95,-0.07
-0.94,-0.06
-0.94,-0.05
-0.94,-0.04
-0.93,-0.03
-0.94,-0.02
-0.97,-0.02
-0.84,-0.05
-0.87,-0.16
-0.87,-0.21
-0.86,-0.22
-0.86,-0.21
-0.86,-0.19
-0.86,-0.16
-0.86,-0.13
-0.86,-0.09
-0.89,-0.05
-0.75,-0.09
-0.79,-0.25
-0.78,-0.32
-0.77,-0.35
-0.77,-0.34
-0.77,-0.31
-0.76,-0.26
-0.76,-0.2
-0.76,-0.14
-0.77,-0.06
-0.68,-0.13
-0.7,-0.32
-0.69,-0.41
-0.68,-0.44
-0.67,-0.43
-0.67,-0.39
-0.67,-0.33
-0.66,-0.26
-0.66,-0.17
-0.66,-0.07
-0.6,-0.16
-0.6,-0.36
-0.59,-0.46
-0.58,-0.49
-0.58,-0.48
-0.57,-0.43
-0.57,-0.37
-0.57,-0.28
-0.56,-0.18
-0.56,-0.07
-0.51,-0.18
-0.5,-0.37
-0.49,-0.47
-0.48,-0.49
-0.48,-0.48
-0.47,-0.43
-0.47,-0.37
-0.47,-0.28
-0.46,-0.18
-0.45,-0.06
-0.42,-0.17
-0.4,-0.34
-0.39,-0.43
-0.38,-0.45
-0.38,-0.43
-0.37,-0.39
-0.37,-0.33
-0.36,-0.25
-0.36,-0.16
-0.35,-0.05
-0.31,-0.14
-0.29,-0.28
-0.28,-0.34
-0.27,-0.36
-0.27,-0.35
-0.27,-0.31
-0.26,-0.26
-0.26,-0.2
-0.26,-0.13
-0.25,-0.04
-0.19,-0.1
-0.17,-0.18
-0.17,-0.22
-0.17,-0.23
-0.16,-0.22
-0.16,-0.2
-0.16,-0.17
-0.16,-0.13
-0.16,-0.08
-0.15,-0.03
-0.07,-0.03
-0.06,-0.06
-0.06,-0.08
-0.06,-0.08
-0.05,-0.08
-0.05,-0.07
-0.05,-0.06
-0.05,-0.04
-0.05,-0.03
-0.05,-0.01
0.07,0.03
0.06,0.06
0.06,0.08
0.06,0.08
0.05,0.08
0.05,0.07
0.05,0.06
0.05,0.04
0.05,0.03
0.05,0.01
0.19,0.1
0.17,0.18
0.17,0.22
0.17,0.23
0.16,0.22
0.16,0.2
0.16,0.17
0.16,0.13
0.16,0.08
0.15,0.03
0.31,0.14
0.29,0.28
0.28,0.34
0.27,0.36
0.27,0.35
0.27,0.31
0.26,0.26
0.26,0.2
0.26,0.13
0.25,0.04
0.42,0.17
0.4,0.34
0.39,0.43
0.38,0.45
0.38,0.43
0.37,0.39
0.37,0.33
0.36,0.25
0.36,0.16
0.35,0.05
0.51,0.18
0.5,0.37
0.49,0.47
0.48,0.49
0.48,0.48
0.47,0.43
0.47,0.37
0.47,0.28
0.46,0.18
0.45,0.06
0.6,0.16
0.6,0.36
0.59,0.46
0.58,0.49
0.58,0.48
0.57,0.43
0.57,0.37
0.57,0.28
0.56,0.18
0.56,0.07
0.68,0.13
0.7,0.32
0.69,0.41
0.68,0.44
0.67,0.43
0.67,0.39
0.67,0.33
0.66,0.26
0.66,0.17
0.66,0.07
0.75,0.09
0.79,0.25
0.78,0.32
0.77,0.35
0.77,0.34
0.77,0.31
0.76,0.26
0.76,0.2
0.76,0.14
0.77,0.06
0.84,0.05
0.87,0.16
0.87,0.21
0.86,0.22
0.86,0.21
0.86,0.19
0.86,0.16
0.86,0.13
0.86,0.09
0.89,0.05
0.98,0.03
0.99,0.08
0.96,0.08
0.95,0.07
0.94,0.06
0.94,0.05
0.94,0.04
0.93,0.03
0.94,0.02
0.97,0.02
-1.01,-0.06
-1.02,-0.11
-0.95,-0.09
-0.94,-0.08
-0.93,-0.07
-0.93,-0.05
-0.92,-0.04
-0.93,-0.03
-0.94,-0.03
-0.99,-0.03
-0.84,-0.07
-0.89,-0.22
-0.87,-0.27
-0.87,-0.28
-0.86,-0.26
-0.86,-0.22
-0.86,-0.19
-0.86,-0.14
-0.86,-0.11
-0.9,-0.07
-0.75,-0.11
-0.81,-0.34
-0.79,-0.43
-0.78,-0.44
-0.77,-0.42
-0.77,-0.37
-0.77,-0.3
-0.76,-0.23
-0.76,-0.15
-0.77,-0.07
-0.68,-0.17
-0.72,-0.44
-0.7,-0.55
-0.69,-0.56
-0.68,-0.53
-0.67,-0.47
-0.67,-0.39
-0.67,-0.29
-0.66,-0.19
-0.66,-0.07
-0.61,-0.22
-0.63,-0.5
-0.61,-0.62
-0.59,-0.64
-0.58,-0.6
-0.58,-0.53
-0.57,-0.43
-0.57,-0.32
-0.56,-0.2
-0.55,-0.07
-0.54,-0.25
-0.53,-0.52
-0.51,-0.63
-0.49,-0.64
-0.48,-0.6
-0.48,-0.53
-0.47,-0.43
-0.47,-0.32
-0.46,-0.2
-0.45,-0.06
-0.46,-0.26
-0.42,-0.49
-0.4,-0.58
-0.39,-0.59
-0.38,-0.55
-0.37,-0.48
-0.37,-0.39
-0.36,-0.29
-0.36,-0.17
-0.35,-0.05
-0.36,-0.22
-0.31,-0.4
-0.29,-0.47
-0.28,-0.47
-0.27,-0.44
-0.27,-0.38
-0.26,-0.31
-0.26,-0.23
-0.26,-0.14
-0.24,-0.04
-0.23,-0.15
-0.19,-0.27
-0.18,-0.31
-0.17,-0.3
-0.17,-0.28
-0.16,-0.24
-0.16,-0.2
-0.16,-0.15
-0.15,-0.09
-0.15,-0.03
-0.08,-0.05
-0.06,-0.09
-0.06,-0.11
-0.06,-0.11
-0.06,-0.1
-0.05,-0.08
-0.05,-0.07
-0.05,-0.05
-0.05,-0.03
-0.05,-0.01
0.08,0.05
0.06,0.09
0.06,0.11
0.06,0.11
0.06,0.1
0.05,0.08
0.05,0.07
0.05,0.05
0.05,0.03
0.05,0.01
0.23,0.15
0.19,0.27
0.18,0.31
0.17,0.3
0.17,0.28
0.16,0.24
0.16,0.2
0.16,0.15
0.15,0.09
0.15,0.03
0.36,0.22
0.31,0.4
0.29,0.47
0.28,0.47
0.27,0.44
0.27,0.38
0.26,0.31
0.26,0.23
0.26,0.14
0.24,0.04
0.46,0.26
0.42,0.49
0.4,0.58
0.39,0.59
0.38,0.55
0.37,0.48
0.37,0.39
0.36,0.29
0.36,0.17
0.35,0.05
0.54,0.25
0.53,0.52
0.51,0.63
0.49,0.64
0.48,0.6
0.48,0.53
0.47,0.43
0.47,0.32
0.46,0.2
0.45,0.06
0.61,0.22
0.63,0.5
0.61,0.62
0.59,0.64
0.58,0.6
0.58,0.53
0.57,0.43
0.57,0.32
0.56,0.2
0.55,0.07
0.68,0.17
0.72,0.44
0.7,0.55
0.69,0.56
0.68,0.53
0.67,0.47
0.67,0.39
0.67,0.29
0.66,0.19
0.66,0.07
0.75,0.11
0.81,0.34
0.79,0.43
0.78,0.44
0.77,0.42
0.77,0.37
0.77,0.3
0.76,0.23
0.76,0.15
0.77,0.07
0.84,0.07
0.89,0.22
0.87,0.27
0.87,0.28
0.86,0.26
0.86,0.22
0.86,0.19
0.86,0.14
0.86,0.11
0.9,0.07
1.01,0.06
1.02,0.11
0.95,0.09
0.94,0.08
0.93,0.07
0.93,0.05
0.92,0.04
0.93,0.03
0.94,0.03
0.99,0.03
-1.04,-0.08
-1.03,-0.13
-0.92,-0.09
-0.93,-0.08
-0.92,-0.06
-0.91,-0.05
-0.92,-0.04
-0.93,-0.03
-0.95,-0.04
-1.0,-0.04
-0.84,-0.1
-0.9,-0.28
-0.88,-0.32
-0.87,-0.31
-0.87,-0.28
-0.86,-0.24
-0.86,-0.2
-0.86,-0.15
-0.86,-0.11
-0.91,-0.07
-0.74,-0.14
-0.83,-0.42
-0.8,-0.51
-0.78,-0.51
-0.78,-0.47
-0.77,-0.4
-0.77,-0.33
-0.76,-0.24
-0.76,-0.16
-0.76,-0.06
-0.67,-0.2
-0.75,-0.55
-0.71,-0.66
-0.69,-0.67
-0.68,-0.61
-0.67,-0.52
-0.67,-0.42
-0.66,-0.3
-0.66,-0.19
-0.65,-0.06
-0.62,-0.27
-0.66,-0.64
-0.62,-0.76
-0.6,-0.75
-0.59,-0.68
-0.58,-0.58
-0.57,-0.46
-0.56,-0.33
-0.56,-0.2
-0.55,-0.06
-0.57,-0.32
-0.56,-0.67
-0.52,-0.78
-0.5,-0.77
-0.49,-0.69
-0.48,-0.59
-0.47,-0.46
-0.46,-0.33
-0.46,-0.2
-0.44,-0.06
-0.51,-0.34
-0.45,-0.64
-0.42,-0.73
-0.4,-0.71
-0.38,-0.63
-0.37,-0.53
-0.37,-0.42
-0.36,-0.3
-0.36,-0.17
-0.34,-0.05
-0.42,-0.32
-0.34,-0.54
-0.3,-0.6
-0.29,-0.57
-0.28,-0.51
-0.27,-0.43
-0.26,-0.33
-0.26,-0.24
-0.25,-0.14
-0.24,-0.04
-0.29,-0.23
-0.21,-0.36
-0.19,-0.39
-0.17,-0.37
-0.17,-0.33
-0.16,-0.27
-0.16,-0.21
-0.16,-0.15
-0.15,-0.09
-0.14,-0.02
-0.1,-0.08
-0.07,-0.13
-0.06,-0.14
-0.06,-0.13
-0.06,-0.11
-0.05,-0.09
-0.05,-0.07
-0.05,-0.05
-0.05,-0.03
-0.05,-0.01
0.1,0.08
0.07,0.13
0.06,0.14
0.06,0.13
0.06,0.11
0.05,0.09
0.05,0.07
0.05,0.05
0.05,0.03
0.05,0.01
0.29,0.23
0.21,0.36
0.19,0.39
0.17,0.37
0.17,0.33
0.16,0.27
0.16,0.21
0.16,0.15
0.15,0.09
0.14,0.02
0.42,0.32
0.34,0.54
0.3,0.6
0.29,0.57
0.28,0.51
0.27,0.43
0.26,0.33
0.26,0.24
0.25,0.14
0.24,0.04
0.51,0.34
0.45,0.64
0.42,0.73
0.4,0.71
0.38,0.63
0.37,0.53
0.37,0.42
0.36,0.3
0.36,0.17
0.34,0.05
0.57,0.32
0.56,0.67
0.52,0.78
0.5,0.77
0.49,0.69
0.48,0.59
0.47,0.46
0.46,0.33
0.46,0.2
0.44,0.06
0.62,0.27
0.66,0.64
0.62,0.76
0.6,0.75
0.59,0.68
0.58,0.58
0.57,0.46
0.56,0.33
0.56,0.2
0.55,0.06
0.67,0.2
0.75,0.55
0.71,0.66
0.69,0.67
0.68,0.61
0.67,0.52
0.67,0.42
0.66,0.3
0.66,0.19
0.65,0.06
0.74,0.14
0.83,0.42
0.8,0.51
0.78,0.51
0.78,0.47
0.77,0.4
0.77,0.33
0.76,0.24
0.76,0.16
0.76,0.06
0.84,0.1
0.9,0.28
0.88,0.32
0.87,0.31
0.87,0.28
0.86,0.24
0.86,0.2
0.86,0.15
0.86,0.11
0.91,0.07
1.04,0.08
1.03,0.13
0.92,0.09
0.93,0.08
0.92,0.06
0.91,0.05
0.92,0.04
0.93,0.03
0.95,0.04
1.0,0.04
-1.07,-0.1
-1.01,-0.13
-0.89,-0.08
-0.92,-0.07
-0.9,-0.05
-0.9,-0.04
-0.91,-0.03
-0.93,-0.04
-0.96,-0.04
-1.02,-0.05
-0.86,-0.12
-0.91,-0.32
-0.88,-0.35
-0.87,-0.34
-0.87,-0.3
-0.86,-0.25
-0.86,-0.2
-0.86,-0.15
-0.86,-0.11
-0.9,-0.07
-0.74,-0.16
-0.85,-0.5
-0.8,-0.58
-0.79,-0.56
-0.78,-0.5
-0.77,-0.42
-0.76,-0.33
-0.76,-0.24
-0.76,-0.15
-0.75,-0.05
-0.66,-0.23
-0.78,-0.65
-0.72,-0.76
-0.7,-0.73
-0.68,-0.65
-0.67,-0.54
-0.67,-0.42
-0.66,-0.3
-0.65,-0.18
-0.65,-0.06
-0.61,-0.31
-0.69,-0.76
-0.63,-0.87
-0.6,-0.84
-0.59,-0.74
-0.57,-0.61
-0.57,-0.47
-0.56,-0.33
-0.55,-0.19
-0.54,-0.05
-0.58,-0.38
-0.59,-0.81
-0.54,-0.91
-0.5,-0.86
-0.49,-0.75
-0.47,-0.61
-0.47,-0.47
-0.46,-0.32
-0.45,-0.18
-0.44,-0.05
-0.55,-0.43
-0.49,-0.79
-0.43,-0.86
-0.4,-0.8
-0.38,-0.69
-0.37,-0.56
-0.36,-0.42
-0.36,-0.29
-0.35,-0.16
-0.33,-0.04
-0.49,-0.42
-0.37,-0.68
-0.32,-0.72
-0.29,-0.66
-0.28,-0.56
-0.27,-0.45
-0.26,-0.34
-0.26,-0.23
-0.25,-0.13
-0.24,-0.03
-0.37,-0.33
-0.24,-0.48
-0.2,-0.48
-0.18,-0.43
-0.17,-0.36
-0.16,-0.29
-0.16,-0.22
-0.15,-0.15
-0.15,-0.08
-0.14,-0.02
-0.14,-0.13
-0.08,-0.17
-0.07,-0.17
-0.06,-0.15
-0.06,-0.13
-0.05,-0.1
-0.05,-0.07
-0.05,-0.05
-0.05,-0.03
-0.05,-0.01
0.14,0.13
0.08,0.17
0.07,0.17
0.06,0.15
0.06,0.13
0.05,0.1
0.05,0.07
0.05,0.05
0.05,0.03
0.05,0.01
0.37,0.33
0.24,0.48
0.2,0.48
0.18,0.43
0.17,0.36
0.16,0.29
0.16,0.22
0.15,0.15
0.15,0.08
0.14,0.02
0.49,0.42
0.37,0.68
0.32,0.72
0.29,0.66
0.28,0.56
0.27,0.45
0.26,0.34
0.26,0.23
0.25,0.13
0.24,0.03
0.55,0.43
0.49,0.79
0.43,0.86
0.4,0.8
0.38,0.69
0.37,0.56
0.36,0.42
0.36,0.29
0.35,0.16
0.33,0.04
0.58,0.38
0.59,0.81
0.54,0.91
0.5,0.86
0.49,0.75
0.47,0.61
0.47,0.47
0.46,0.32
0.45,0.18
0.44,0.05
0.61,0.31
0.69,0.76
0.63,0.87
0.6,0.84
0.59,0.74
0.57,0.61
0.57,0.47
0.56,0.33
0.55,0.19
0.54,0.05
0.66,0.23
0.78,0.65
0.72,0.76
0.7,0.73
0.68,0.65
0.67,0.54
0.67,0.42
0.66,0.3
0.65,0.18
0.65,0.06
0.74,0.16
0.85,0.5
0.8,0.58
0.79,0.56
0.78,0.5
0.77,0.42
0.76,0.33
0.76,0.24
0.76,0.15
0.75,0.05
0.86,0.12
0.91,0.32
0.88,0.35
0.87,0.34
0.87,0.3
0.86,0.25
0.86,0.2
0.86,0.15
0.86,0.11
0.9,0.07
1.07,0.1
1.01,0.13
0.89,0.08
0.92,0.07
0.9,0.05
0.9,0.04
0.91,0.03
0.93,0.04
0.96,0.04
1.02,0.05
-1.09,-0.11
-0.97,-0.11
-0.85,-0.05
-0.91,-0.07
-0.88,-0.04
-0.9,-0.04
-0.92,-0.04
-0.94,-0.04
-0.97,-0.05
-1.02,-0.05
-0.87,-0.14
-0.92,-0.34
-0.88,-0.36
-0.87,-0.34
-0.87,-0.29
-0.86,-0.24
-0.86,-0.2
-0.86,-0.15
-0.86,-0.11
-0.9,-0.07
-0.74,-0.19
-0.87,-0.55
-0.8,-0.62
-0.79,-0.58
-0.77,-0.5
-0.77,-0.41
-0.76,-0.32
-0.76,-0.23
-0.75,-0.14
-0.73,-0.04
-0.66,-0.26
-0.81,-0.73
-0.72,-0.82
-0.7,-0.77
-0.68,-0.66
-0.67,-0.53
-0.66,-0.4
-0.66,-0.28
-0.65,-0.16
-0.65,-0.05
-0.61,-0.34
-0.73,-0.86
-0.64,-0.96
-0.6,-0.89
-0.58,-0.75
-0.57,-0.6
-0.56,-0.44
-0.56,-0.3
-0.55,-0.17
-0.54,-0.04
-0.58,-0.42
-0.63,-0.93
-0.55,-1.02
-0.51,-0.92
-0.48,-0.77
-0.47,-0.61
-0.46,-0.45
-0.46,-0.3
-0.45,-0.16
-0.43,-0.04
-0.56,-0.49
-0.52,-0.93
-0.44,-0.97
-0.4,-0.87
-0.38,-0.71
-0.37,-0.55
-0.36,-0.4
-0.35,-0.27
-0.35,-0.14
-0.33,-0.03
-0.55,-0.52
-0.41,-0.83
-0.33,-0.83
-0.29,-0.72
-0.27,-0.58
-0.26,-0.45
-0.26,-0.32
-0.25,-0.21
-0.25,-0.11
-0.24,-0.02
-0.48,-0.45
-0.28,-0.61
-0.21,-0.57
-0.18,-0.48
-0.16,-0.38
-0.16,-0.29
-0.15,-0.21
-0.15,-0.14
-0.15,-0.07
-0.14,-0.01
-0.21,-0.19
-0.11,-0.23
-0.07,-0.21
-0.06,-0.17
-0.06,-0.13
-0.05,-0.1
-0.05,-0.07
-0.05,-0.05
-0.05,-0.02
-0.05,-0.0
0.21,0.19
0.11,0.23
0.07,0.21
0.06,0.17
0.06,0.13
0.05,0.1
0.05,0.07
0.05,0.05
0.05,0.02
0.05,0.0
0.48,0.45
0.28,0.61
0.21,0.57
0.18,0.48
0.16,0.38
0.16,0.29
0.15,0.21
0.15,0.14
0.15,0.07
0.14,0.01
0.55,0.52
0.41,0.83
0.33,0.83
0.29,0.72
0.27,0.58
0.26,0.45
0.26,0.32
0.25,0.21
0.25,0.11
0.24,0.02
0.56,0.49
0.52,0.93
0.44,0.97
0.4,0.87
0.38,0.71
0.37,0.55
0.36,0.4
0.35,0.27
0.35,0.14
0.33,0.03
0.58,0.42
0.63,0.93
0.55,1.02
0.51,0.92
0.48,0.77
0.47,0.61
0.46,0.45
0.46,0.3
0.45,0.16
0.43,0.04
0.61,0.34
0.73,0.86
0.64,0.96
0.6,0.89
0.58,0.75
0.57,0.6
0.56,0.44
0.56,0.3
0.55,0.17
0.54,0.04
0.66,0.26
